"date","load4"
2011-07-01,3285.83928401483
2011-07-02,3348.87006104647
2011-07-03,3510.75206495981
2011-07-04,3654.87264398217
2011-07-05,3632.63818319527
2011-07-06,3776.37380416535
2011-07-07,3900.40968924529
2011-07-08,3661.6546995422
2011-07-09,3700.45625307318
2011-07-10,4004.4163790584
2011-07-11,3461.23738543868
2011-07-12,3629.1882666777
2011-07-13,3883.28848286411
2011-07-14,3981.93465183164
2011-07-15,3639.86510776167
2011-07-16,3469.26165629869
2011-07-17,4151.62736690013
2011-07-18,3925.88085162114
2011-07-19,3875.59560785601
2011-07-20,4115.38016027715
2011-07-21,4121.99914412099
2011-07-22,4241.45193302114
2011-07-23,4443.96703787236
2011-07-24,4380.02649164412
2011-07-25,4213.50520793007
2011-07-26,4074.40442349347
2011-07-27,3918.84104134514
2011-07-28,4264.98534008749
2011-07-29,3858.43840038576
2011-07-30,3635.24180292569
2011-07-31,3592.44247422365
