"date","load2"
2011-07-01,3102.14344200412
2011-07-02,3215.05714662378
2011-07-03,3249.9467269257
2011-07-04,3255.38341642836
2011-07-05,3250.13676492802
2011-07-06,3241.22000872727
2011-07-07,3231.21610419162
2011-07-08,3221.06572583901
2011-07-09,3211.10460878522
2011-07-10,3201.44639874466
2011-07-11,3192.12352987082
2011-07-12,3183.13899962767
2011-07-13,3174.48537868208
2011-07-14,3166.15177837407
2011-07-15,3158.12639317182
2011-07-16,3150.3974177228
2011-07-17,3142.95336742587
2011-07-18,3135.78318065407
2011-07-19,3128.87624157754
2011-07-20,3122.22237461629
2011-07-21,3115.81182924583
2011-07-22,3109.63526194903
2011-07-23,3103.68371783213
2011-07-24,3097.94861271626
2011-07-25,3092.42171603337
2011-07-26,3087.09513455055
2011-07-27,3081.96129693744
2011-07-28,3077.01293914191
2011-07-29,3072.2430905115
2011-07-30,3067.64506063915
2011-07-31,3063.21242687629
