"date","load4"
2011-07-01,3275.48322018327
2011-07-02,3378.99466406718
2011-07-03,3703.41273176912
2011-07-04,3867.88951997368
2011-07-05,3858.88632207741
2011-07-06,4057.62775989387
2011-07-07,4208.96302868426
2011-07-08,3860.01721716384
2011-07-09,3738.23317205582
2011-07-10,3932.76759260504
2011-07-11,3602.62813735832
2011-07-12,3604.89007725424
2011-07-13,3734.6366200105
2011-07-14,3793.18533490243
2011-07-15,3639.39064913009
2011-07-16,3534.50609255061
2011-07-17,4065.16154716785
2011-07-18,3764.68473637475
2011-07-19,3618.67008476273
2011-07-20,3744.06902037209
2011-07-21,3616.66649564424
2011-07-22,3384.91318653109
2011-07-23,3485.5683303183
2011-07-24,3605.76953670423
2011-07-25,3578.72737011778
2011-07-26,3743.71061894657
2011-07-27,4026.60293442722
2011-07-28,4151.62564825963
2011-07-29,3810.21391547393
2011-07-30,3598.73238746842
2011-07-31,3496.95075344426
