"date","load"
2011-07-01,3287.91016732842
2011-07-02,3487.75201578641
2011-07-03,3733.82740136572
2011-07-04,3799.57304719865
2011-07-05,3908.6482019094
2011-07-06,3875.40288954189
2011-07-07,4058.13114454725
2011-07-08,3983.86855541074
2011-07-09,4076.96934152979
2011-07-10,3902.15168349534
2011-07-11,4372.12951449591
2011-07-12,4267.1982160794
2011-07-13,4215.52441865787
2011-07-14,3716.28263803834
2011-07-15,3429.37216671944
2011-07-16,3791.89438016828
2011-07-17,3885.56424110473
2011-07-18,3876.54728796471
2011-07-19,3754.00455940325
2011-07-20,3806.07198063049
2011-07-21,3870.99606138263
2011-07-22,3775.08648857677
2011-07-23,3788.00443836166
2011-07-24,4213.40094739038
2011-07-25,4331.87261055602
2011-07-26,4411.12786456721
2011-07-27,4269.10694104968
2011-07-28,3782.23147450018
2011-07-29,3706.96468430017
2011-07-30,3964.36651267683
2011-07-31,3962.21161564209
