"date","load3"
2011-07-01,3556.12837751456
2011-07-02,3717.99730854459
2011-07-03,3790.05975398192
2011-07-04,3672.73260253779
2011-07-05,3612.58800556772
2011-07-06,3640.88546953498
2011-07-07,3606.3162210451
2011-07-08,3621.13401786318
2011-07-09,3786.90677176487
2011-07-10,3861.75638566894
2011-07-11,3744.12889675025
2011-07-12,3685.20690872007
2011-07-13,3716.95140406254
2011-07-14,3684.89510652605
2011-07-15,3703.55486481237
2011-07-16,3876.91120549235
2011-07-17,3957.37698281334
2011-07-18,3840.31813650916
2011-07-19,3782.87788951584
2011-07-20,3817.85641873533
2011-07-21,3786.4995898993
2011-07-22,3806.28745626209
2011-07-23,3983.95260586643
2011-07-24,4064.86763396913
2011-07-25,3941.63424356728
2011-07-26,3878.46781506323
2011-07-27,3908.84861253893
2011-07-28,3870.16824334571
2011-07-29,3882.75729038519
2011-07-30,4055.08373567145
2011-07-31,4127.60508309488
